session_id,anomaly_description,value,unit
564540703,User plugged in for longer than 24 hours,39:53:21,hh:mm:ss
565504823,User actively charging for longer than 12 hours,12:13:45,hh:mm:ss
567844493,User actively charging for longer than 12 hours,12:15:49,hh:mm:ss
568336473,User actively charging for longer than 12 hours,13:07:25,hh:mm:ss
568905673,User actively charging for longer than 12 hours,12:50:17,hh:mm:ss
568933363,User actively charging for longer than 12 hours,14:53:52,hh:mm:ss
569146233,User actively charging for longer than 12 hours,13:17:04,hh:mm:ss
572419703,User actively charging for longer than 12 hours,12:48:06,hh:mm:ss
572614083,User plugged in for longer than 24 hours,26:00:50,hh:mm:ss
573534673,User actively charging for longer than 12 hours,14:50:38,hh:mm:ss
573821383,User actively charging for longer than 12 hours,13:12:22,hh:mm:ss
574745443,User actively charging for longer than 12 hours,15:50:15,hh:mm:ss
574890323,User actively charging for longer than 12 hours,14:51:34,hh:mm:ss
576243683,User plugged in for longer than 24 hours,44:29:49,hh:mm:ss
577212113,User actively charging for longer than 12 hours,13:35:00,hh:mm:ss
577657673,User actively charging for longer than 12 hours,14:50:13,hh:mm:ss
578076683,User actively charging for longer than 12 hours,13:06:28,hh:mm:ss
578559263,User plugged in for longer than 24 hours,24:05:44,hh:mm:ss
578807833,User actively charging for longer than 12 hours,13:45:09,hh:mm:ss
581542273,User actively charging for longer than 12 hours,14:00:21,hh:mm:ss
581548373,User plugged in for longer than 24 hours,25:36:37,hh:mm:ss
581735073,User actively charging for longer than 12 hours,12:34:36,hh:mm:ss
582868013,User actively charging for longer than 12 hours,14:38:05,hh:mm:ss
587903093,User actively charging for longer than 12 hours,13:19:53,hh:mm:ss
588102613,User actively charging for longer than 12 hours,13:06:47,hh:mm:ss
589519953,User actively charging for longer than 12 hours,13:01:00,hh:mm:ss
591695533,User actively charging for longer than 12 hours,12:21:35,hh:mm:ss
594120183,User actively charging for longer than 12 hours,12:12:16,hh:mm:ss
594695413,User actively charging for longer than 12 hours,13:06:01,hh:mm:ss
595185213,User actively charging for longer than 12 hours,12:50:28,hh:mm:ss
596098143,User actively charging for longer than 12 hours,12:09:34,hh:mm:ss
597890293,User actively charging for longer than 12 hours,12:59:05,hh:mm:ss
598156003,User actively charging for longer than 12 hours,12:35:15,hh:mm:ss
598318883,User plugged in for longer than 24 hours,42:43:23,hh:mm:ss
599983333,User actively charging for longer than 12 hours,12:08:29,hh:mm:ss
601751743,User actively charging for longer than 12 hours,12:16:31,hh:mm:ss
602037653,User actively charging for longer than 12 hours,13:10:13,hh:mm:ss
602161053,User plugged in for longer than 24 hours,27:41:51,hh:mm:ss
602794533,User actively charging for longer than 12 hours,18:30:24,hh:mm:ss
603538503,User actively charging for longer than 12 hours,12:10:40,hh:mm:ss
604302713,User actively charging for longer than 12 hours,12:01:28,hh:mm:ss
605035403,User actively charging for longer than 12 hours,12:13:27,hh:mm:ss
605327523,User plugged in for longer than 24 hours,28:13:51,hh:mm:ss
605870993,User actively charging for longer than 12 hours,17:14:31,hh:mm:ss
